Date,Price,Open,High,Low,Vol.,Change %
30-Jul-15,"6,668.87","6,631.00","6,697.40","6,631.00",802.15M,0.57%
31-Jul-15,"6,696.28","6,668.87","6,705.42","6,646.26",958.42M,0.41%
03-Aug-15,"6,688.62","6,696.28","6,710.79","6,668.18",700.91M,-0.11%
04-Aug-15,"6,686.57","6,688.62","6,715.51","6,644.65",1.44B,-0.03%
05-Aug-15,"6,752.41","6,686.57","6,764.82","6,686.57",873.48M,0.98%
06-Aug-15,"6,747.09","6,752.41","6,763.34","6,717.49",713.00M,-0.08%
07-Aug-15,"6,718.49","6,747.09","6,754.77","6,718.49",614.01M,-0.42%
10-Aug-15,"6,736.22","6,718.49","6,751.49","6,653.65",789.15M,0.26%
11-Aug-15,"6,664.54","6,736.22","6,736.22","6,663.98",727.57M,-1.06%
12-Aug-15,"6,571.19","6,664.54","6,664.54","6,536.41",1.12B,-1.40%
13-Aug-15,"6,568.33","6,571.19","6,634.71","6,553.45",689.59M,-0.04%
14-Aug-15,"6,550.74","6,568.33","6,603.17","6,544.42",595.48M,-0.27%
17-Aug-15,"6,550.30","6,550.74","6,585.88","6,507.76",485.85M,-0.01%
18-Aug-15,"6,526.29","6,550.30","6,564.55","6,505.69",555.00M,-0.37%
19-Aug-15,"6,403.45","6,526.29","6,526.52","6,403.45",721.08M,-1.88%
20-Aug-15,"6,367.89","6,403.45","6,408.61","6,359.71",750.76M,-0.56%
21-Aug-15,"6,187.65","6,367.89","6,367.89","6,187.65",832.21M,-2.83%
24-Aug-15,"5,898.87","6,187.65","6,187.65","5,768.22",1.71B,-4.67%
25-Aug-15,"6,081.34","5,898.87","6,115.74","5,898.87",1.38B,3.09%
26-Aug-15,"5,979.20","6,081.34","6,095.05","5,949.94",1.02B,-1.68%
27-Aug-15,"6,192.03","5,979.20","6,212.48","5,979.20",1.06B,3.56%
28-Aug-15,"6,247.94","6,192.03","6,247.94","6,152.01",895.70M,0.90%
01-Sep-15,"6,058.54","6,247.94","6,247.94","6,028.71",1.03B,-3.03%
02-Sep-15,"6,083.31","6,058.54","6,161.68","6,021.36",791.46M,0.41%
03-Sep-15,"6,194.10","6,083.31","6,215.74","6,083.31",758.47M,1.82%
04-Sep-15,"6,042.92","6,194.10","6,194.10","6,040.49",766.16M,-2.44%
07-Sep-15,"6,074.52","6,042.92","6,125.67","6,042.92",479.13M,0.52%
08-Sep-15,"6,146.10","6,074.52","6,196.47","6,074.52",685.13M,1.18%
09-Sep-15,"6,229.01","6,146.10","6,284.17","6,146.10",756.98M,1.35%
10-Sep-15,"6,155.81","6,229.01","6,229.01","6,127.52",772.72M,-1.18%
11-Sep-15,"6,117.76","6,155.81","6,174.28","6,113.10",584.62M,-0.62%
14-Sep-15,"6,084.59","6,117.76","6,191.82","6,065.43",617.18M,-0.54%
15-Sep-15,"6,137.60","6,084.59","6,158.08","6,019.92",728.37M,0.87%
16-Sep-15,"6,229.21","6,137.60","6,244.94","6,137.60",844.32M,1.49%
17-Sep-15,"6,186.99","6,229.21","6,239.86","6,182.63",861.35M,-0.68%
18-Sep-15,"6,104.11","6,186.99","6,188.74","6,053.87",1.55B,-1.34%
21-Sep-15,"6,108.71","6,104.11","6,168.74","6,083.64",719.11M,0.08%
22-Sep-15,"5,935.84","6,108.71","6,111.57","5,935.84",970.78M,-2.83%
23-Sep-15,"6,032.24","5,935.84","6,067.56","5,933.23",748.15M,1.62%
24-Sep-15,"5,961.49","6,032.24","6,055.64","5,947.19",894.32M,-1.17%
25-Sep-15,"6,109.01","5,961.49","6,120.67","5,961.49",863.42M,2.47%
28-Sep-15,"5,958.86","6,109.01","6,110.31","5,958.86",997.74M,-2.46%
29-Sep-15,"5,909.24","5,958.86","5,958.86","5,877.08",1.03B,-0.83%
30-Sep-15,"6,061.61","5,909.24","6,061.61","5,909.24",1.05B,2.58%
01-Oct-15,"6,072.47","6,061.61","6,172.78","6,053.26",873.58M,0.18%
02-Oct-15,"6,129.98","6,072.47","6,176.20","6,051.62",888.46M,0.95%
05-Oct-15,"6,298.92","6,129.98","6,301.05","6,129.98",890.10M,2.76%
06-Oct-15,"6,326.16","6,298.92","6,343.71","6,255.10",737.90M,0.43%
07-Oct-15,"6,336.35","6,326.16","6,396.34","6,319.77",1.02B,0.16%
08-Oct-15,"6,374.82","6,336.35","6,380.30","6,303.46",742.31M,0.61%
09-Oct-15,"6,416.16","6,374.82","6,453.22","6,374.82",768.20M,0.65%
12-Oct-15,"6,371.18","6,416.16","6,416.16","6,351.34",552.28M,-0.70%
13-Oct-15,"6,342.28","6,371.18","6,371.18","6,303.02",722.57M,-0.45%
14-Oct-15,"6,269.61","6,342.28","6,342.28","6,268.29",638.45M,-1.15%
15-Oct-15,"6,338.67","6,269.61","6,351.43","6,269.61",644.98M,1.10%
16-Oct-15,"6,378.04","6,338.67","6,398.23","6,338.67",610.63M,0.62%
19-Oct-15,"6,352.33","6,378.04","6,408.09","6,336.27",476.84M,-0.40%
20-Oct-15,"6,345.13","6,352.33","6,367.75","6,319.25",592.20M,-0.11%
21-Oct-15,"6,348.42","6,345.13","6,387.29","6,316.30",615.20M,0.05%
22-Oct-15,"6,376.28","6,348.42","6,387.28","6,321.65",740.62M,0.44%
23-Oct-15,"6,444.08","6,376.28","6,487.89","6,376.28",749.54M,1.06%
26-Oct-15,"6,417.02","6,444.08","6,453.00","6,405.38",454.68M,-0.42%
27-Oct-15,"6,365.27","6,417.02","6,419.62","6,365.27",564.36M,-0.81%
28-Oct-15,"6,437.80","6,365.27","6,448.46","6,355.78",819.72M,1.14%
29-Oct-15,"6,395.80","6,437.80","6,437.85","6,358.16",852.19M,-0.65%
30-Oct-15,"6,361.09","6,395.80","6,410.28","6,337.65",738.50M,-0.54%
02-Nov-15,"6,361.80","6,361.09","6,364.42","6,317.29",522.27M,0.01%
03-Nov-15,"6,383.61","6,361.80","6,383.61","6,344.70",627.80M,0.34%
04-Nov-15,"6,412.88","6,383.61","6,459.46","6,383.04",782.76M,0.46%
05-Nov-15,"6,364.90","6,412.88","6,421.81","6,358.12",722.04M,-0.75%
06-Nov-15,"6,353.83","6,364.90","6,395.19","6,332.73",733.58M,-0.17%
09-Nov-15,"6,295.16","6,353.83","6,380.42","6,292.05",678.63M,-0.92%
10-Nov-15,"6,275.28","6,295.16","6,329.69","6,250.31",748.09M,-0.32%
11-Nov-15,"6,297.20","6,275.28","6,327.16","6,272.69",636.99M,0.35%
12-Nov-15,"6,178.68","6,297.20","6,300.90","6,178.68",852.48M,-1.88%
13-Nov-15,"6,118.28","6,178.68","6,178.95","6,088.76",702.65M,-0.98%
16-Nov-15,"6,146.38","6,118.28","6,161.90","6,079.79",621.59M,0.46%
17-Nov-15,"6,268.76","6,146.38","6,269.44","6,146.38",719.06M,1.99%
18-Nov-15,"6,278.97","6,268.76","6,283.90","6,228.15",634.12M,0.16%
19-Nov-15,"6,329.93","6,278.97","6,366.85","6,278.97",772.70M,0.81%
20-Nov-15,"6,334.63","6,329.93","6,360.73","6,311.76",832.32M,0.07%
23-Nov-15,"6,305.49","6,334.63","6,334.63","6,267.05",603.42M,-0.46%
24-Nov-15,"6,277.23","6,305.49","6,305.49","6,221.33",880.47M,-0.45%
25-Nov-15,"6,337.64","6,277.23","6,348.05","6,277.23",694.08M,0.96%
26-Nov-15,"6,393.13","6,337.64","6,395.33","6,333.92",467.83M,0.88%
27-Nov-15,"6,375.15","6,393.13","6,393.13","6,345.30",486.35M,-0.28%
30-Nov-15,"6,356.09","6,375.15","6,387.11","6,329.92",855.38M,-0.30%
01-Dec-15,"6,395.65","6,356.09","6,402.36","6,356.09",809.01M,0.62%
02-Dec-15,"6,420.93","6,395.65","6,447.34","6,395.20",583.61M,0.40%
03-Dec-15,"6,275.00","6,420.93","6,444.72","6,275.00",817.89M,-2.27%
04-Dec-15,"6,238.29","6,275.00","6,277.59","6,219.50",683.05M,-0.59%
07-Dec-15,"6,223.52","6,238.29","6,287.23","6,215.17",559.03M,-0.24%
08-Dec-15,"6,135.22","6,223.52","6,224.86","6,120.68",814.51M,-1.42%
09-Dec-15,"6,126.68","6,135.22","6,175.75","6,101.22",775.11M,-0.14%
10-Dec-15,"6,088.05","6,126.68","6,127.09","6,079.96",864.01M,-0.63%
11-Dec-15,"5,952.78","6,088.05","6,088.05","5,949.84",830.91M,-2.22%
14-Dec-15,"5,874.06","5,952.78","6,009.92","5,871.88",805.17M,-1.32%
15-Dec-15,"6,017.79","5,874.06","6,036.68","5,874.06",836.32M,2.45%
16-Dec-15,"6,061.19","6,017.79","6,089.31","6,016.25",773.63M,0.72%
17-Dec-15,"6,102.54","6,061.19","6,160.78","6,061.19",747.55M,0.68%
18-Dec-15,"6,052.42","6,102.54","6,105.57","6,051.74",1.27B,-0.82%
21-Dec-15,"6,034.84","6,052.42","6,113.96","6,034.84",561.86M,-0.29%
22-Dec-15,"6,083.10","6,034.84","6,090.58","6,031.82",437.45M,0.80%
23-Dec-15,"6,240.98","6,083.10","6,248.50","6,083.10",596.53M,2.60%
24-Dec-15,"6,254.64","6,240.98","6,259.86","6,236.85",112.22M,0.22%
29-Dec-15,"6,314.57","6,254.64","6,314.57","6,245.24",462.31M,0.96%
30-Dec-15,"6,274.05","6,314.57","6,314.57","6,261.48",337.96M,-0.64%
31-Dec-15,"6,242.32","6,274.05","6,278.31","6,233.03",166.42M,-0.51%
04-Jan-16,"6,093.43","6,242.32","6,242.32","6,071.01",707.34M,-2.39%
05-Jan-16,"6,137.24","6,093.43","6,166.26","6,079.23",643.37M,0.72%
06-Jan-16,"6,073.38","6,137.24","6,137.24","6,018.65",721.61M,-1.04%
07-Jan-16,"5,954.08","6,073.38","6,073.38","5,887.97",1.09B,-1.96%
08-Jan-16,"5,912.44","5,954.08","6,013.38","5,912.44",835.01M,-0.70%
11-Jan-16,"5,871.83","5,912.44","5,941.93","5,871.83",841.79M,-0.69%
12-Jan-16,"5,929.24","5,871.83","5,985.80","5,866.67",831.69M,0.98%
13-Jan-16,"5,960.97","5,929.24","6,011.13","5,929.24",834.54M,0.54%
14-Jan-16,"5,918.23","5,960.97","5,960.97","5,829.26",1.10B,-0.72%
15-Jan-16,"5,804.10","5,918.23","5,934.62","5,769.23",1.12B,-1.93%
18-Jan-16,"5,779.92","5,804.10","5,852.09","5,766.50",741.11M,-0.42%
19-Jan-16,"5,876.80","5,779.92","5,915.69","5,779.92",833.71M,1.68%
20-Jan-16,"5,673.58","5,876.80","5,876.80","5,639.88",1.07B,-3.46%
21-Jan-16,"5,773.79","5,673.58","5,781.24","5,659.15",1.12B,1.77%
22-Jan-16,"5,900.01","5,773.79","5,926.94","5,773.79",906.98M,2.19%
25-Jan-16,"5,877.00","5,900.01","5,933.47","5,851.83",828.64M,-0.39%
26-Jan-16,"5,911.46","5,877.00","5,919.17","5,771.37",878.66M,0.59%
27-Jan-16,"5,990.37","5,911.46","5,990.37","5,870.75",902.09M,1.33%
28-Jan-16,"5,931.78","5,990.37","6,020.54","5,889.37",918.48M,-0.98%
29-Jan-16,"6,083.79","5,931.78","6,083.79","5,931.78",1.02B,2.56%
